"ID","Description","Published","Solved By","Solve Status"
599,"Distinct Colourings of a Rubik's Cube",1492257600,306,0
600,"Integer Sided Equiangular Hexagons",1492873200,621,0
601,"Divisibility Streaks",1493488800,2082,0
602,"Product of Head Counts",1494104400,502,0
603,"Substring Sums of Prime Concatenations",1494720000,432,0
604,"Convex Path in Square",1495335600,513,0
605,"Pairwise Coin-Tossing Game",1495951200,858,0
606,"Gozinta Chains II",1496566800,380,0
607,"Marsh Crossing",1497096000,1738,0
608,"Divisor Sums",1497711600,307,0
609,"$\pi$ Sequences",1504969200,949,0
610,"Roman Numerals II",1506189600,583,0
611,"Hallway of Square Steps",1507410000,337,0
612,"Friend Numbers",1508630400,687,0
613,"Pythagorean Ant",1509854400,1814,0
614,"Special Partitions 2",1511074800,314,0
615,"The Millionth Number with at Least One Million Prime Factors",1512295200,588,0
616,"Creative Numbers",1513429200,485,0
617,"Mirror Power Sequence",1514649600,381,0
618,"Numbers with a Given Prime Factor Sum",1515870000,1047,0
619,"Square Subsets",1517090400,402,0
620,"Planetary Gears",1518310800,174,0
621,"Expressing an Integer as the Sum of Triangular Numbers",1519531200,564,0
622,"Riffle Shuffles",1520751600,1758,0
623,"Lambda Count",1521968400,322,0
624,"Two Heads Are Better Than One",1523102400,642,0
625,"Gcd Sum",1524322800,622,0
626,"Counting Binary Matrices",1525543200,225,0
627,"Counting Products",1526763600,240,0
628,"Open Chess Positions",1527984000,803,0
629,"Scatterstone Nim",1529204400,242,0
630,"Crossed Lines",1530424800,1016,0
631,"Constrained Permutations",1531645200,194,0
632,"Square Prime Factors",1532779200,480,0
633,"Square Prime Factors II",1532779200,318,0
634,"Numbers of the Form $a^2b^3$",1533999600,614,0
635,"Subset Sums",1535220000,345,0
636,"Restricted Factorisations",1536440400,192,0
637,"Flexible Digit Sum",1537660800,324,0
638,"Weighted Lattice Paths",1538881200,376,0
639,"Summing a Multiplicative Function",1540101600,264,0
640,"Shut the Box",1540720800,347,0
641,"A Long Row of Dice",1541250000,485,0
642,"Sum of Largest Prime Factors",1541865600,359,0
643,"$2$-Friendly",1542481200,607,0
644,"Squares on the Line",1543096800,161,0
645,"Every Day Is a Holiday",1543712400,215,0
646,"Bounded Divisors",1544328000,279,0
647,"Linear Transformations of Polygonal Numbers",1544943600,441,0
648,"Skipping Squares",1545559200,287,0
649,"Low-Prime Chessboard Nim",1546088400,411,0
650,"Divisors of Binomial Product",1546704000,1654,0
651,"Patterned Cylinders",1547319600,170,0
652,"Distinct Values of a Proto-logarithmic Function",1547935200,171,0
653,"Frictionless Tube",1548550800,310,0
654,"Neighbourly Constraints",1549166400,344,0
655,"Divisible Palindromes",1549782000,528,0
656,"Palindromic Sequences",1550397600,241,0
657,"Incomplete Words",1550926800,537,0
658,"Incomplete Words II",1550926800,244,0
659,"Largest Prime",1551542400,935,0
660,"Pandigital Triangles",1552158000,300,0
661,"A Long Chess Match",1552773600,224,0
662,"Fibonacci Paths",1553389200,802,0
663,"Sums of Subarrays",1554001200,360,0
664,"An Infinite Game",1554616800,192,0
665,"Proportionate Nim",1555232400,255,0
666,"Polymorphic Bacteria",1555761600,281,0
667,"Moving Pentagon",1556377200,203,0
668,"Square Root Smooth Numbers",1556992800,1049,0
669,"The King's Banquet",1557608400,313,0
670,"Colouring a Strip",1558224000,337,0
671,"Colouring a Loop",1558224000,168,0
672,"One More One",1558839600,269,0
673,"Beds and Desks",1559455200,317,0
674,"Solving $\mathcal{I}$-equations",1560070800,170,0
675,"$2^{\omega(n)}$",1560600000,741,0
676,"Matching Digit Sums",1561215600,230,0
677,"Coloured Graphs",1561831200,174,0
678,"Fermat-like Equations",1567890000,232,0
679,"Freefarea",1568505600,854,0
680,"Yarra Gnisrever",1569121200,190,0
681,"Maximal Area",1569736800,230,0
682,"$5$-Smooth Pairs",1570352400,268,0
683,"The Chase II",1570881600,323,0
684,"Inverse Digit Sum",1571497200,2596,0
685,"Inverse Digit Sum II",1571497200,196,0
686,"Powers of Two",1572112800,3358,0
687,"Shuffling Cards",1572732000,305,0
688,"Piles of Plates",1573347600,740,0
689,"Binary Series",1573963200,229,0
690,"Tom and Jerry",1574578800,199,0
691,"Long Substring with Many Repetitions",1575194400,264,0
692,"Siegbert and Jo",1575723600,1282,0
693,"Finite Sequence Generator",1576339200,283,0
694,"Cube-full Divisors",1576954800,961,0
695,"Random Rectangles",1577570400,205,0
696,"Mahjong",1578186000,169,0
697,"Randomly Decaying Sequence",1578801600,557,0
698,"123 Numbers",1579417200,427,0
699,"Triffle Numbers",1580032800,181,0
700,"Eulercoin",1580562000,3175,0
701,"Random Connected Area",1581177600,334,0
702,"Jumping Flea",1581793200,152,0
703,"Circular Logic II",1582408800,293,0
704,"Factors of Two in Binomial Coefficients",1583024400,884,0
705,"Total Inversion Count of Divided Sequences",1583640000,423,0
706,"$3$-Like Numbers",1584255600,541,0
707,"Lights Out",1584871200,223,0
708,"Twos Are All You Need",1585400400,301,0
709,"Even Stevens",1586016000,814,0
710,"One Million Members",1586631600,1170,0
711,"Binary Blackboard",1586631600,315,0
712,"Exponent Difference",1587247200,480,0
713,"Turán's Water Heating System",1587862800,688,0
714,"Duodigits",1588478400,704,0
715,"Sextuplet Norms",1589094000,189,0
716,"Grid Graphs",1589709600,221,0
717,"Summation of a Modular Formula",1590238800,473,0
718,"Unreachable Numbers",1590854400,323,0
719,"Number Splitting",1591470000,3417,0
720,"Unpredictable Permutations",1592085600,295,0
721,"High Powers of Irrational Numbers",1592701200,407,0
722,"Slowly Converging Series",1593316800,492,0
723,"Pythagorean Quadrilaterals",1593932400,177,0
724,"Drone Delivery",1599310800,374,0
725,"Digit Sum Numbers",1599926400,1005,0
726,"Falling Bottles",1600542000,191,0
727,"Triangle of Circular Arcs",1601157600,484,0
728,"Circle of Coins",1601773200,269,0
729,"Range of Periodic Sequence",1602388800,161,0
730,"Shifted Pythagorean Triples",1603004400,177,0
731,"A Stoneham Number",1603620000,519,0
732,"Standing on the Shoulders of Trolls",1604149200,205,0
733,"Ascending Subsequences",1604764800,448,0
734,"A Bit of Prime",1605380400,309,0
735,"Divisors of $2n^2$",1605996000,202,0
736,"Paths to Equality",1606611600,218,0
737,"Coin Loops",1607227200,340,0
738,"Counting Ordered Factorisations",1607842800,262,0
739,"Summation of Summations",1608458400,478,0
740,"Secret Santa",1608987600,195,0
741,"Binary Grid Colouring",1609603200,149,0
742,"Minimum Area of a Convex Grid Polygon",1610218800,159,0
743,"Window into a Matrix",1610834400,1066,0
744,"What? Where? When?",1611450000,282,0
745,"Sum of Squares II",1612065600,1032,0
746,"A Messy Dinner",1612681200,263,0
747,"Triangular Pizza",1613296800,185,0
748,"Upside Down Diophantine Equation",1613826000,289,0
749,"Near Power Sums",1614441600,645,0
750,"Optimal Card Stacking",1615057200,307,0
751,"Concatenation Coincidence",1615672800,2021,0
752,"Powers of $1+\sqrt 7$",1616288400,591,0
753,"Fermat Equation",1616904000,377,0
754,"Product of Gauss Factorials",1617519600,631,0
755,"Not Zeckendorf",1618740000,793,0
756,"Approximating a Sum",1619874000,319,0
757,"Stealthy Numbers",1621094400,1075,0
758,"Buckets of Water",1622314800,218,0
759,"A Squared Recurrence Relation",1623535200,503,0
760,"Sum over Bitwise Operators",1624755600,391,0
761,"Runner and Swimmer",1625976000,143,0
762,"Amoebas in a 2D Grid",1630760400,190,0
763,"Amoebas in a 3D Grid",1630760400,77,0
764,"Asymmetric Diophantine Equation",1631376000,334,0
765,"Trillionaire",1631991600,196,0
766,"Sliding Block Puzzle",1633212000,299,0
767,"Window into a Matrix II",1633827600,167,0
768,"Chandelier",1634443200,144,0
769,"Binary Quadratic Form II",1635055200,130,0
770,"Delphi Flip",1635674400,467,0
771,"Pseudo Geometric Sequences",1636203600,122,0
772,"Balanceable $k$-bounded Partitions",1636819200,448,0
773,"Ruff Numbers",1637434800,189,0
774,"Conjunctive Sequences",1638050400,122,0
775,"Saving Paper",1638666000,227,0
776,"Digit Sum Division",1639281600,490,0
777,"Lissajous Curves",1639897200,112,0
778,"Freshman's Product",1640512800,363,0
779,"Prime Factor and Exponent",1641042000,439,0
780,"Toriangulations",1641657600,72,0
781,"Feynman Diagrams",1642273200,118,0
782,"Distinct Rows and Columns",1642888800,147,0
783,"Urns",1643504400,184,0
784,"Reciprocal Pairs",1644120000,361,0
785,"Symmetric Diophantine Equation",1644735600,181,0
786,"Billiard",1645351200,113,0
787,"Bézout's Game",1645880400,187,0
788,"Dominating Numbers",1646496000,969,0
789,"Minimal Pairing Modulo $p$",1647111600,179,0
790,"Clock Grid",1647727200,245,0
791,"Average and Variance",1648342800,151,0
792,"Too Many Twos",1648958400,112,0
793,"Median of Products",1649574000,583,0
794,"Seventeen Points",1650189600,290,0
795,"Alternating GCD Sum",1650718800,310,0
796,"A Grand Shuffle",1651334400,188,0
797,"Cyclogenic Polynomials",1651950000,179,0
798,"Card Stacking Game",1652565600,102,0
799,"Pentagonal Puzzle",1653181200,210,0
800,"Hybrid Integers",1653796800,1434,0
801,"$x^y \equiv y^x$",1654412400,233,0
802,"Iterated Composition",1655028000,219,0
803,"Pseudorandom Sequence",1655557200,198,0
804,"Counting Binary Quadratic Representations",1656172800,577,0
805,"Shifted Multiples",1656788400,170,0
806,"Nim on Towers of Hanoi",1657404000,103,0
807,"Loops of Ropes",1662858000,108,0
808,"Reversible Prime Squares",1663473600,1785,0
809,"Rational Recurrence Relation ",1664089200,264,0
810,"XOR-Primes",1664704800,587,0
811,"Bitwise Recursion",1665234000,207,0
812,"Dynamical Polynomials",1665849600,101,0
813,"XOR-Powers",1666465200,442,0
814,"Mezzo-forte",1667080800,194,0
815,"Group by Value",1667696400,358,0
816,"Shortest Distance Among Points",1668312000,1354,0
817,"Digits in Squares",1668927600,388,0
818,"SET",1669543200,114,0
819,"Iterative Sampling",1670072400,191,0
820,"$N$<sup>th</sup> Digit of Reciprocals",1670688000,661,0
821,"123-Separable",1671303600,133,0
822,"Square the Smallest",1671919200,599,0
823,"Factor Shuffle",1672534800,167,0
824,"Chess Sliders",1673150400,94,0
825,"Chasing Game",1673766000,130,0
826,"Birds on a Wire",1674381600,203,0
827,"Pythagorean Triple Occurrence",1674910800,161,0
828,"Numbers Challenge",1675526400,488,0
829,"Integral Fusion",1676142000,185,0
830,"Binomials and Powers",1676757600,110,0
831,"Triple Product",1677373200,161,0
832,"Mex Sequence",1677988800,243,0
833,"Square Triangle Products",1678604400,147,0
834,"Add and Divide",1679220000,308,0
835,"Supernatural Triangles",1679749200,281,0
836,"A Bold Proposition",1680364800,1451,0
837,"Amidakuji",1680364800,174,0
838,"Not Coprime",1680980400,444,0
839,"Beans in Bowls",1681596000,298,0
840,"Sum of Products",1682211600,284,0
841,"Regular Star Polygons",1682827200,151,0
842,"Irregular Star Polygons",1683442800,103,0
843,"Periodic Circles",1684058400,98,0
844,"$k$-Markov Numbers",1684587600,164,0
845,"Prime Digit Sum",1685203200,385,0
846,"Magic Bracelets",1685818800,154,0
847,"Jack's Bean",1686434400,85,0
848,"Guessing with Sets",1687050000,145,0
849,"The Tournament",1687665600,162,0
850,"Fractions of Powers",1688281200,72,0
851,"SOP and POS",1688896800,66,0
